epoch,train_mae,test_mae,train_mse,test_mse
1,1.638,1.0159,4.1832,1.6709
2,0.758,0.8117,0.9453,1.0649
3,0.7177,0.7829,0.8379,0.9862
4,0.6952,0.7678,0.7866,0.9486
5,0.6774,0.7526,0.7488,0.9148
6,0.663,0.7508,0.7199,0.9076
7,0.6515,0.7411,0.6974,0.8894
8,0.6424,0.7388,0.6801,0.8862
9,0.6347,0.7338,0.6657,0.8765
10,0.6286,0.73,0.6548,0.8705
11,0.6237,0.7298,0.6455,0.8723
12,0.6038,0.7258,0.6045,0.8584
13,0.6013,0.7255,0.599,0.8572
14,0.6004,0.7247,0.5972,0.857
15,0.5996,0.7245,0.5956,0.8558
16,0.5987,0.7247,0.5941,0.8566
17,0.5981,0.7239,0.5928,0.8553
18,0.5973,0.7235,0.5914,0.8559
19,0.5967,0.7241,0.5902,0.8552
20,0.5961,0.7244,0.5889,0.8571
21,0.5954,0.7237,0.5878,0.8565
22,0.5948,0.7236,0.5866,0.855
23,0.5942,0.7231,0.5855,0.8552
24,0.5936,0.7233,0.5844,0.856
25,0.5931,0.7237,0.5834,0.8568
26,0.5925,0.7227,0.5824,0.8555
27,0.5919,0.7227,0.5814,0.8556
28,0.5915,0.7227,0.5804,0.856
29,0.5909,0.7228,0.5795,0.8559
30,0.5904,0.7233,0.5786,0.857
31,0.59,0.7232,0.5777,0.8567
32,0.585,0.7228,0.5683,0.856
33,0.5846,0.7226,0.5674,0.8558
34,0.5845,0.7225,0.5671,0.8556
35,0.5844,0.7225,0.5669,0.8556
36,0.5843,0.7225,0.5668,0.8555
37,0.5843,0.7225,0.5666,0.8555
38,0.5842,0.7224,0.5665,0.8555
39,0.5842,0.7225,0.5664,0.8555
40,0.5841,0.7224,0.5664,0.8555
41,0.5841,0.7224,0.5663,0.8555
42,0.584,0.7224,0.5662,0.8555
43,0.584,0.7224,0.5661,0.8555
44,0.584,0.7224,0.566,0.8555
45,0.5839,0.7224,0.5659,0.8555
46,0.5839,0.7225,0.5658,0.8557
47,0.5838,0.7225,0.5658,0.8557
48,0.5838,0.7224,0.5657,0.8556
49,0.5838,0.7224,0.5656,0.8556
50,0.5837,0.7224,0.5655,0.8556
51,0.5837,0.7224,0.5654,0.8557
52,0.5836,0.7224,0.5654,0.8557
53,0.5836,0.7224,0.5653,0.8558
54,0.5835,0.7224,0.5652,0.8557
55,0.5835,0.7224,0.5651,0.8558
56,0.5834,0.7224,0.565,0.8558
57,0.5834,0.7224,0.565,0.8558
58,0.5834,0.7224,0.5649,0.8558
59,0.5833,0.7224,0.5648,0.8558
60,0.5833,0.7223,0.5647,0.8558
